Estado,Gênero,Idade,Cor_Raça,Nível_Educação,Código_Ocupação,Renda_Mensal,Horas_Trabalhadas_Semana,Posição_Ocupacional,Atividade_Principal,Carteira_Assinada,Anos_Estudo
11,1,24,4,5.0,5223.0,0.0,44.0,3.0,4.0,1.0,12.0
11,2,52,1,7.0,2341.0,2410.0,20.0,4.0,9.0,,16.0
11,1,30,4,4.0,9313.0,1800.0,44.0,6.0,3.0,,10.0
11,2,31,4,5.0,5142.0,2000.0,30.0,6.0,10.0,,12.0
11,1,53,4,6.0,4110.0,3000.0,48.0,3.0,4.0,1.0,15.0
11,1,28,4,7.0,4110.0,4000.0,40.0,4.0,8.0,,16.0
11,2,56,4,5.0,6112.0,1320.0,40.0,6.0,4.0,,12.0
11,1,40,1,5.0,6112.0,1320.0,40.0,6.0,4.0,,12.0
11,2,31,1,5.0,5142.0,3000.0,44.0,6.0,10.0,,12.0
11,1,40,4,5.0,5142.0,3000.0,44.0,6.0,10.0,,12.0
11,2,29,4,7.0,4110.0,5000.0,40.0,4.0,8.0,,16.0
