Estado,Gênero,Idade,Cor_Raça,Nível_Educação,Código_Ocupação_TI,Renda_Mensal,Horas_Trabalhadas_Semana,Posição_Ocupacional,Atividade_Principal,Carteira_Assinada,Anos_Estudo
17,2,33,4,3.0,7422,3000.0,44.0,6.0,10.0,,9.0
17,1,39,4,7.0,7421,2000.0,44.0,6.0,3.0,,16.0
17,1,40,4,2.0,7422,500.0,16.0,3.0,7.0,2.0,5.0
17,1,41,4,5.0,3114,3200.0,40.0,3.0,10.0,1.0,12.0
17,2,44,4,5.0,4132,2400.0,40.0,4.0,8.0,,12.0
17,2,48,1,7.0,2522,6000.0,40.0,4.0,9.0,,16.0
17,1,35,4,5.0,3513,2118.0,40.0,3.0,9.0,1.0,12.0
17,1,38,4,5.0,7422,600.0,44.0,6.0,10.0,,12.0
17,1,35,4,7.0,7422,4000.0,44.0,6.0,10.0,,16.0
17,1,29,4,6.0,3511,2800.0,40.0,3.0,7.0,1.0,13.0
17,1,28,4,7.0,3521,3600.0,40.0,3.0,7.0,1.0,16.0
17,1,49,4,7.0,2511,40000.0,30.0,4.0,8.0,,16.0
17,1,27,4,4.0,3514,2500.0,30.0,6.0,7.0,,10.0
17,1,30,4,5.0,3513,2500.0,40.0,3.0,7.0,1.0,12.0
17,1,47,1,5.0,7422,4000.0,40.0,5.0,10.0,,12.0
17,2,19,4,5.0,3113,1100.0,20.0,3.0,4.0,2.0,12.0
17,1,25,4,6.0,3513,2300.0,44.0,3.0,10.0,2.0,14.0
17,1,30,4,4.0,3521,4000.0,10.0,6.0,6.0,,11.0
17,1,38,4,7.0,3513,5000.0,40.0,3.0,10.0,1.0,16.0
17,1,38,1,7.0,3513,5200.0,40.0,3.0,9.0,1.0,16.0
17,1,39,4,7.0,2514,5000.0,40.0,6.0,7.0,,16.0
17,1,31,1,7.0,3521,10000.0,48.0,6.0,5.0,,16.0
17,1,38,4,7.0,3113,4500.0,40.0,3.0,4.0,1.0,16.0
17,1,30,1,7.0,2512,9500.0,40.0,3.0,2.0,1.0,16.0
17,1,22,1,7.0,2512,1800.0,40.0,3.0,7.0,1.0,16.0
17,2,22,1,6.0,3513,2400.0,44.0,3.0,7.0,1.0,13.0
