Estado,Gênero,Idade,Cor_Raça,Nível_Educação,Código_Ocupação_TI,Renda_Mensal,Horas_Trabalhadas_Semana,Posição_Ocupacional,Atividade_Principal,Carteira_Assinada,Anos_Estudo
17,1,21,4,6.0,3512,7000.0,40.0,3.0,7.0,1.0,13.0
17,1,36,4,7.0,2511,3000.0,44.0,6.0,7.0,,16.0
17,1,36,2,7.0,3513,5300.0,44.0,3.0,7.0,1.0,16.0
17,1,41,2,5.0,4132,2640.0,30.0,4.0,8.0,,12.0
17,2,22,2,5.0,7422,2000.0,40.0,3.0,2.0,1.0,12.0
17,1,26,1,5.0,3522,1350.0,44.0,3.0,7.0,1.0,12.0
17,2,26,4,5.0,2166,1600.0,44.0,3.0,7.0,2.0,12.0
17,1,20,4,4.0,4132,500.0,20.0,6.0,7.0,,11.0
17,1,19,4,7.0,7422,900.0,30.0,3.0,9.0,2.0,15.0
17,1,40,4,2.0,7422,1320.0,10.0,3.0,7.0,2.0,5.0
17,2,44,4,5.0,4132,6600.0,20.0,4.0,8.0,,12.0
17,2,64,1,7.0,4132,6000.0,30.0,4.0,8.0,,16.0
17,1,28,4,5.0,7422,2600.0,48.0,3.0,7.0,1.0,12.0
17,1,17,4,4.0,7422,1320.0,44.0,3.0,7.0,2.0,11.0
17,1,49,4,7.0,2511,31000.0,30.0,4.0,8.0,,16.0
17,1,29,4,4.0,7422,1800.0,44.0,3.0,7.0,1.0,11.0
17,1,29,4,4.0,3521,5000.0,36.0,6.0,10.0,,11.0
17,1,38,4,7.0,3513,2500.0,40.0,3.0,7.0,1.0,16.0
17,1,26,4,7.0,2151,1600.0,44.0,6.0,7.0,,16.0
17,1,38,4,7.0,3113,2500.0,40.0,3.0,2.0,1.0,16.0
17,1,30,1,7.0,2151,12000.0,40.0,3.0,2.0,1.0,16.0
17,1,42,4,7.0,3113,3500.0,20.0,4.0,8.0,2.0,15.0
17,1,58,1,6.0,7422,3000.0,40.0,6.0,10.0,,13.0
17,1,25,4,5.0,3512,1500.0,44.0,3.0,7.0,1.0,12.0
17,1,25,1,6.0,3512,2300.0,30.0,4.0,8.0,2.0,14.0
17,1,22,1,5.0,7422,1320.0,40.0,3.0,7.0,1.0,12.0
17,2,27,4,7.0,2151,2000.0,44.0,3.0,3.0,2.0,16.0
17,1,31,4,6.0,2166,5120.0,38.0,3.0,7.0,1.0,14.0
17,1,21,4,6.0,3511,796.0,20.0,3.0,9.0,2.0,14.0
